region,Avg_Fraud_Probability,Actual_Fraud_Rate,Transaction_Count
483.0_60.0,0.4237,0.5652,23
296.0_65.0,0.405,0.6377,69
391.0_60.0,0.3314,0.4571,35
479.0_96.0,0.2448,0.2308,13
432.0_96.0,0.2435,0.2895,38
296.0_68.0,0.2424,0.1,10
431.0_60.0,0.2293,0.3421,38
239.0_60.0,0.1997,0.1935,31
216.0_60.0,0.1739,0.2407,54
161.0_60.0,0.1692,0.1948,421
171.0_96.0,0.1674,0.1667,12
426.0_96.0,0.1513,0.1562,32
296.0_43.0,0.1462,0.0,11
356.0_96.0,0.127,0.1333,90
536.0_96.0,0.1199,0.1618,309
nan_nan,0.1167,0.1178,65706
296.0_32.0,0.1137,0.1017,59
374.0_60.0,0.1073,0.0714,14
511.0_60.0,0.1045,0.0637,157
465.0_60.0,0.1041,0.0835,503
296.0_57.0,0.0948,0.0,10
443.0_60.0,0.0866,0.0,23
130.0_60.0,0.0849,0.0848,342
242.0_60.0,0.0774,0.0595,84
122.0_87.0,0.0711,0.0726,1612
508.0_60.0,0.0682,0.0429,70
332.0_60.0,0.0673,0.0,19
167.0_60.0,0.0661,0.0526,57
348.0_96.0,0.0651,0.0714,84
284.0_60.0,0.0599,0.0324,771
